2021.6.22 19:04:51:235   leftController:(-0.35, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.17, 0.07, -0.02)  rightControllerVel:(0.01, 0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:253   leftController:(-0.35, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.16, 0.07, -0.02)  rightControllerVel:(0.03, 0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:266   leftController:(-0.34, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.15, 0.08, -0.02)  rightControllerVel:(0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:276   leftController:(-0.34, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.14, 0.09, -0.03)  rightControllerVel:(0.05, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:292   leftController:(-0.34, 1.21, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.12, 0.09, -0.03)  rightControllerVel:(0.06, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:307   leftController:(-0.34, 1.22, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.10)  leftControllerVel:(0.10, 0.10, -0.03)  rightControllerVel:(0.06, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:322   leftController:(-0.34, 1.22, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.09, 0.10, -0.04)  rightControllerVel:(0.07, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:335   leftController:(-0.34, 1.22, 0.41)  rightController:(-0.07, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.08, 0.11, -0.04)  rightControllerVel:(0.07, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:347   leftController:(-0.34, 1.22, 0.41)  rightController:(-0.06, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.07, 0.11, -0.05)  rightControllerVel:(0.06, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:365   leftController:(-0.33, 1.22, 0.41)  rightController:(-0.06, 1.21, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.07, 0.11, -0.05)  rightControllerVel:(0.05, -0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
