2021.7.2 17:57:27:108   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(0.07, 0.23, -0.13)  rightControllerVel:(0.01, -0.08, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:118   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(0.06, 0.18, -0.08)  rightControllerVel:(0.00, -0.07, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:129   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(0.05, 0.13, -0.04)  rightControllerVel:(-0.01, -0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:143   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(0.03, 0.08, 0.00)  rightControllerVel:(-0.01, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:156   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(0.00, 0.03, 0.04)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:169   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(-0.02, 0.01, 0.05)  rightControllerVel:(0.00, 0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:183   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.18)  leftControllerVel:(-0.04, -0.02, 0.07)  rightControllerVel:(0.00, 0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:195   leftController:(-0.30, 1.44, 0.06)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.18)  leftControllerVel:(-0.05, -0.04, 0.08)  rightControllerVel:(0.01, 0.07, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:208   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.18)  leftControllerVel:(-0.05, -0.04, 0.08)  rightControllerVel:(0.01, 0.09, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:225   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(-0.01, -0.04, 0.07)  rightControllerVel:(0.03, 0.11, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:237   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.14, 1.45, 0.11)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.00, -0.04, 0.06)  rightControllerVel:(0.04, 0.13, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:249   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.45, 0.10)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.03, -0.04, 0.05)  rightControllerVel:(0.07, 0.17, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:264   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.46, 0.10)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.05, -0.05, 0.04)  rightControllerVel:(0.09, 0.20, -0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:276   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.46, 0.10)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.05, -0.06, 0.04)  rightControllerVel:(0.10, 0.23, -0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:286   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.46, 0.10)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.05, -0.07, 0.04)  rightControllerVel:(0.10, 0.25, -0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:298   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.47, 0.10)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.04, -0.08, 0.04)  rightControllerVel:(0.13, 0.25, -0.21)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:311   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.47, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.03, -0.09, 0.04)  rightControllerVel:(0.12, 0.24, -0.23)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:322   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.13, 1.47, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.02, -0.10, 0.04)  rightControllerVel:(0.10, 0.22, -0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:332   leftController:(-0.30, 1.44, 0.07)  rightController:(-0.12, 1.47, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.02, -0.11, 0.04)  rightControllerVel:(0.08, 0.20, -0.23)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:344   leftController:(-0.30, 1.43, 0.07)  rightController:(-0.12, 1.47, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.03, -0.12, 0.04)  rightControllerVel:(0.04, 0.16, -0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:369   leftController:(-0.30, 1.43, 0.07)  rightController:(-0.13, 1.48, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.07, -0.15, 0.06)  rightControllerVel:(-0.01, 0.05, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:387   leftController:(-0.29, 1.43, 0.08)  rightController:(-0.12, 1.47, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.14, -0.18, 0.09)  rightControllerVel:(0.01, -0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:409   leftController:(-0.29, 1.42, 0.08)  rightController:(-0.13, 1.47, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.22, -0.23, 0.12)  rightControllerVel:(0.00, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:431   leftController:(-0.28, 1.42, 0.08)  rightController:(-0.13, 1.47, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.31, -0.34, 0.18)  rightControllerVel:(0.04, -0.23, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:454   leftController:(-0.27, 1.40, 0.09)  rightController:(-0.12, 1.46, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.37, -0.48, 0.24)  rightControllerVel:(0.05, -0.25, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
