2021.7.2 17:59:36:587   leftController:(0.28, 1.36, 0.11)  rightController:(-0.18, 1.18, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.68, -0.18)  leftControllerVel:(-0.08, -0.38, -0.27)  rightControllerVel:(0.26, 0.24, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:598   leftController:(0.28, 1.36, 0.11)  rightController:(-0.18, 1.19, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.68, -0.18)  leftControllerVel:(-0.12, -0.39, -0.27)  rightControllerVel:(0.27, 0.22, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:610   leftController:(0.28, 1.35, 0.10)  rightController:(-0.18, 1.19, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.68, -0.18)  leftControllerVel:(-0.21, -0.39, -0.28)  rightControllerVel:(0.29, 0.20, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:621   leftController:(0.28, 1.35, 0.10)  rightController:(-0.17, 1.19, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.68, -0.18)  leftControllerVel:(-0.25, -0.40, -0.29)  rightControllerVel:(0.30, 0.19, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:632   leftController:(0.27, 1.34, 0.10)  rightController:(-0.17, 1.19, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.68, -0.18)  leftControllerVel:(-0.30, -0.43, -0.29)  rightControllerVel:(0.32, 0.17, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:643   leftController:(0.27, 1.34, 0.09)  rightController:(-0.17, 1.19, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.68, -0.18)  leftControllerVel:(-0.33, -0.46, -0.27)  rightControllerVel:(0.33, 0.15, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:655   leftController:(0.26, 1.33, 0.09)  rightController:(-0.16, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.68, -0.18)  leftControllerVel:(-0.35, -0.56, -0.21)  rightControllerVel:(0.34, 0.13, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:666   leftController:(0.26, 1.33, 0.09)  rightController:(-0.16, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.68, -0.17)  leftControllerVel:(-0.36, -0.62, -0.18)  rightControllerVel:(0.36, 0.12, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:677   leftController:(0.26, 1.32, 0.09)  rightController:(-0.15, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.68, -0.17)  leftControllerVel:(-0.33, -0.68, -0.15)  rightControllerVel:(0.37, 0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:688   leftController:(0.25, 1.31, 0.09)  rightController:(-0.15, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.68, -0.17)  leftControllerVel:(-0.33, -0.71, -0.13)  rightControllerVel:(0.36, 0.11, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:699   leftController:(0.25, 1.30, 0.08)  rightController:(-0.15, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.67, -0.17)  leftControllerVel:(-0.34, -0.72, -0.11)  rightControllerVel:(0.33, 0.11, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:710   leftController:(0.25, 1.29, 0.08)  rightController:(-0.14, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.67, -0.17)  leftControllerVel:(-0.32, -0.73, -0.05)  rightControllerVel:(0.31, 0.12, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:721   leftController:(0.24, 1.28, 0.08)  rightController:(-0.14, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.67, -0.17)  leftControllerVel:(-0.29, -0.76, -0.03)  rightControllerVel:(0.30, 0.12, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:732   leftController:(0.24, 1.28, 0.08)  rightController:(-0.14, 1.20, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.67, -0.17)  leftControllerVel:(-0.26, -0.78, 0.00)  rightControllerVel:(0.26, 0.10, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:744   leftController:(0.24, 1.27, 0.08)  rightController:(-0.13, 1.21, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.00, 1.67, -0.17)  leftControllerVel:(-0.22, -0.76, -0.04)  rightControllerVel:(0.27, 0.11, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:755   leftController:(0.24, 1.26, 0.08)  rightController:(-0.13, 1.21, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.00, 1.67, -0.17)  leftControllerVel:(-0.18, -0.72, -0.05)  rightControllerVel:(0.28, 0.12, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:766   leftController:(0.24, 1.25, 0.08)  rightController:(-0.13, 1.21, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.67, -0.17)  leftControllerVel:(-0.10, -0.64, -0.08)  rightControllerVel:(0.30, 0.12, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:777   leftController:(0.23, 1.24, 0.08)  rightController:(-0.12, 1.21, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.67, -0.16)  leftControllerVel:(-0.06, -0.57, -0.10)  rightControllerVel:(0.33, 0.12, 0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:788   leftController:(0.23, 1.24, 0.08)  rightController:(-0.12, 1.21, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.67, -0.16)  leftControllerVel:(-0.05, -0.53, -0.10)  rightControllerVel:(0.36, 0.09, 0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:799   leftController:(0.23, 1.23, 0.08)  rightController:(-0.11, 1.21, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.67, -0.16)  leftControllerVel:(-0.04, -0.50, -0.11)  rightControllerVel:(0.39, 0.07, 0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:812   leftController:(0.23, 1.23, 0.08)  rightController:(-0.11, 1.21, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.67, -0.16)  leftControllerVel:(-0.04, -0.48, -0.10)  rightControllerVel:(0.40, 0.04, 0.27)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:822   leftController:(0.23, 1.22, 0.08)  rightController:(-0.10, 1.21, 0.05)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.67, -0.16)  leftControllerVel:(-0.02, -0.47, -0.08)  rightControllerVel:(0.45, -0.03, 0.33)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
