2021.10.23 14:53:43:778   leftController:(0.08, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.14, 0.07, 0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.10.23 14:53:43:789   leftController:(0.08, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.15, 0.08, 0.05)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.10.23 14:53:43:801   leftController:(0.08, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.18, 0.10, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.10.23 14:53:43:812   leftController:(0.08, 1.12, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.22, 0.13, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.10.23 14:53:43:823   leftController:(0.07, 1.12, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.25, 0.15, 0.07)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.10.23 14:53:43:834   leftController:(0.07, 1.12, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.29, 0.17, 0.08)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.10.23 14:53:43:845   leftController:(0.07, 1.12, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.32, 0.17, 0.10)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.01)
2021.10.23 14:53:43:856   leftController:(0.06, 1.12, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.35, 0.16, 0.11)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.10.23 14:53:43:867   leftController:(0.06, 1.12, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.38, 0.16, 0.12)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.10.23 14:53:43:879   leftController:(0.05, 1.13, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.41, 0.13, 0.13)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.01)
