2021.6.22 19:07:17:331   leftController:(-0.39, 1.23, 0.35)  rightController:(0.02, 1.15, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.67, 0.04)  leftControllerVel:(-0.11, -0.39, 0.14)  rightControllerVel:(-0.44, -0.22, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:353   leftController:(-0.39, 1.22, 0.35)  rightController:(0.01, 1.15, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.67, 0.04)  leftControllerVel:(-0.09, -0.47, 0.16)  rightControllerVel:(-0.49, -0.20, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:376   leftController:(-0.39, 1.21, 0.35)  rightController:(0.00, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.67, 0.05)  leftControllerVel:(-0.08, -0.59, 0.18)  rightControllerVel:(-0.52, -0.17, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:398   leftController:(-0.39, 1.20, 0.36)  rightController:(-0.01, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.67, 0.05)  leftControllerVel:(-0.06, -0.68, 0.19)  rightControllerVel:(-0.54, -0.14, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:420   leftController:(-0.40, 1.18, 0.36)  rightController:(-0.02, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.67, 0.05)  leftControllerVel:(-0.06, -0.77, 0.19)  rightControllerVel:(-0.54, -0.11, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:443   leftController:(-0.40, 1.16, 0.37)  rightController:(-0.04, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.66, 0.05)  leftControllerVel:(-0.08, -0.88, 0.18)  rightControllerVel:(-0.52, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:466   leftController:(-0.40, 1.14, 0.37)  rightController:(-0.05, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.66, 0.05)  leftControllerVel:(-0.12, -0.96, 0.14)  rightControllerVel:(-0.50, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:487   leftController:(-0.40, 1.12, 0.37)  rightController:(-0.06, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.05)  leftControllerVel:(-0.16, -0.95, 0.08)  rightControllerVel:(-0.46, 0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:509   leftController:(-0.41, 1.10, 0.37)  rightController:(-0.07, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.05)  leftControllerVel:(-0.19, -0.85, -0.01)  rightControllerVel:(-0.42, 0.09, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:520   leftController:(-0.41, 1.09, 0.37)  rightController:(-0.07, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.05)  leftControllerVel:(-0.19, -0.79, -0.05)  rightControllerVel:(-0.40, 0.11, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
