2021.6.22 19:07:49:614   leftController:(-0.41, 1.22, 0.29)  rightController:(-0.10, 1.27, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.05)  leftControllerVel:(0.20, -0.28, 0.03)  rightControllerVel:(0.10, -0.21, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:649   leftController:(-0.40, 1.21, 0.29)  rightController:(-0.09, 1.26, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.04)  leftControllerVel:(0.22, -0.23, -0.01)  rightControllerVel:(0.10, -0.15, -0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:682   leftController:(-0.39, 1.20, 0.29)  rightController:(-0.09, 1.25, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.03)  leftControllerVel:(0.25, -0.21, -0.01)  rightControllerVel:(0.10, -0.13, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:718   leftController:(-0.38, 1.20, 0.29)  rightController:(-0.09, 1.25, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, -0.02)  leftControllerVel:(0.29, -0.22, -0.02)  rightControllerVel:(0.11, -0.16, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:749   leftController:(-0.37, 1.19, 0.29)  rightController:(-0.08, 1.24, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, -0.02)  leftControllerVel:(0.32, -0.24, -0.02)  rightControllerVel:(0.12, -0.23, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:781   leftController:(-0.36, 1.18, 0.29)  rightController:(-0.08, 1.23, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, -0.01)  leftControllerVel:(0.33, -0.28, -0.01)  rightControllerVel:(0.11, -0.34, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:815   leftController:(-0.35, 1.17, 0.29)  rightController:(-0.08, 1.22, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, 0.01)  leftControllerVel:(0.33, -0.33, 0.01)  rightControllerVel:(0.08, -0.47, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:851   leftController:(-0.34, 1.16, 0.29)  rightController:(-0.07, 1.20, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.02)  leftControllerVel:(0.30, -0.41, 0.04)  rightControllerVel:(0.06, -0.54, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:870   leftController:(-0.33, 1.15, 0.29)  rightController:(-0.07, 1.19, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.02)  leftControllerVel:(0.27, -0.46, 0.06)  rightControllerVel:(0.06, -0.55, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:893   leftController:(-0.33, 1.14, 0.29)  rightController:(-0.07, 1.18, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.64, 0.03)  leftControllerVel:(0.21, -0.50, 0.09)  rightControllerVel:(0.06, -0.52, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:918   leftController:(-0.32, 1.12, 0.29)  rightController:(-0.07, 1.17, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.64, 0.04)  leftControllerVel:(0.15, -0.51, 0.12)  rightControllerVel:(0.06, -0.45, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
