2021.5.16 20:03:22:714   leftController:(-0.07, 0.98, 0.13)  rightController:(0.16, 1.05, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.02, -0.11, 0.08)  rightControllerVel:(0.18, -0.36, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:725   leftController:(-0.07, 0.98, 0.13)  rightController:(0.16, 1.05, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.02, -0.10, 0.08)  rightControllerVel:(0.18, -0.33, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:736   leftController:(-0.07, 0.98, 0.13)  rightController:(0.16, 1.04, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.01, -0.09, 0.08)  rightControllerVel:(0.17, -0.30, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:749   leftController:(-0.07, 0.98, 0.13)  rightController:(0.16, 1.04, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(0.00, -0.07, 0.09)  rightControllerVel:(0.17, -0.27, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:757   leftController:(-0.07, 0.98, 0.13)  rightController:(0.16, 1.04, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(-0.01, -0.06, 0.09)  rightControllerVel:(0.16, -0.26, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:769   leftController:(-0.07, 0.98, 0.13)  rightController:(0.16, 1.04, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.53, -0.07)  leftControllerVel:(-0.02, -0.04, 0.10)  rightControllerVel:(0.16, -0.24, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:780   leftController:(-0.07, 0.98, 0.14)  rightController:(0.17, 1.03, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.07)  leftControllerVel:(-0.04, -0.03, 0.11)  rightControllerVel:(0.15, -0.22, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:793   leftController:(-0.07, 0.98, 0.14)  rightController:(0.17, 1.03, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.07, -0.02, 0.11)  rightControllerVel:(0.14, -0.21, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:802   leftController:(-0.07, 0.98, 0.14)  rightController:(0.17, 1.03, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.08, -0.01, 0.11)  rightControllerVel:(0.14, -0.20, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:814   leftController:(-0.07, 0.98, 0.14)  rightController:(0.17, 1.03, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.10, -0.01, 0.11)  rightControllerVel:(0.14, -0.18, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:825   leftController:(-0.08, 0.98, 0.14)  rightController:(0.17, 1.02, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.11, 0.00, 0.11)  rightControllerVel:(0.14, -0.18, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:836   leftController:(-0.08, 0.98, 0.14)  rightController:(0.17, 1.02, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.11, 0.00, 0.11)  rightControllerVel:(0.14, -0.17, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:847   leftController:(-0.08, 0.98, 0.14)  rightController:(0.18, 1.02, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.11, 0.01, 0.11)  rightControllerVel:(0.14, -0.16, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:859   leftController:(-0.08, 0.98, 0.14)  rightController:(0.18, 1.02, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.10, 0.01, 0.11)  rightControllerVel:(0.14, -0.15, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:869   leftController:(-0.08, 0.98, 0.15)  rightController:(0.18, 1.02, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.09, 0.02, 0.11)  rightControllerVel:(0.14, -0.14, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:881   leftController:(-0.08, 0.98, 0.15)  rightController:(0.18, 1.02, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.06)  leftControllerVel:(-0.05, 0.04, 0.12)  rightControllerVel:(0.13, -0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:892   leftController:(-0.08, 0.98, 0.15)  rightController:(0.18, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(-0.04, 0.05, 0.13)  rightControllerVel:(0.12, -0.12, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
