2021.5.16 20:00:37:947   leftController:(-0.67, 1.05, 1.78)  rightController:(-0.39, 1.16, 1.86)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.15, 0.10)  rightControllerVel:(0.10, -0.35, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:958   leftController:(-0.67, 1.06, 1.79)  rightController:(-0.39, 1.16, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.05, 0.16, 0.11)  rightControllerVel:(0.11, -0.33, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:969   leftController:(-0.67, 1.06, 1.79)  rightController:(-0.39, 1.16, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.05, 0.17, 0.13)  rightControllerVel:(0.12, -0.29, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:980   leftController:(-0.67, 1.06, 1.79)  rightController:(-0.39, 1.15, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.19, 0.14)  rightControllerVel:(0.13, -0.25, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:991   leftController:(-0.67, 1.06, 1.79)  rightController:(-0.39, 1.15, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.20, 0.15)  rightControllerVel:(0.13, -0.21, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:02   leftController:(-0.67, 1.06, 1.79)  rightController:(-0.38, 1.15, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.03, 0.21, 0.16)  rightControllerVel:(0.13, -0.18, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:14   leftController:(-0.67, 1.07, 1.79)  rightController:(-0.38, 1.15, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.02, 0.22, 0.17)  rightControllerVel:(0.13, -0.14, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:25   leftController:(-0.67, 1.07, 1.80)  rightController:(-0.38, 1.15, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.22, 0.20)  rightControllerVel:(0.12, -0.11, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:36   leftController:(-0.67, 1.07, 1.80)  rightController:(-0.38, 1.15, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.04, 0.21, 0.21)  rightControllerVel:(0.12, -0.10, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:47   leftController:(-0.67, 1.07, 1.80)  rightController:(-0.38, 1.14, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.04, 0.21, 0.21)  rightControllerVel:(0.12, -0.09, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:59   leftController:(-0.67, 1.08, 1.80)  rightController:(-0.38, 1.14, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.05, 0.20, 0.22)  rightControllerVel:(0.11, -0.08, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:69   leftController:(-0.66, 1.08, 1.81)  rightController:(-0.38, 1.14, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.05, 0.20, 0.24)  rightControllerVel:(0.11, -0.08, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:81   leftController:(-0.66, 1.08, 1.81)  rightController:(-0.38, 1.14, 1.87)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.05, 0.19, 0.24)  rightControllerVel:(0.09, -0.07, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:92   leftController:(-0.66, 1.08, 1.81)  rightController:(-0.38, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.04, 0.18, 0.24)  rightControllerVel:(0.07, -0.06, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:103   leftController:(-0.66, 1.08, 1.81)  rightController:(-0.37, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.03, 0.18, 0.23)  rightControllerVel:(0.06, -0.06, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:115   leftController:(-0.66, 1.09, 1.82)  rightController:(-0.37, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.02, 0.18, 0.22)  rightControllerVel:(0.05, -0.07, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:125   leftController:(-0.66, 1.09, 1.82)  rightController:(-0.37, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.03, 0.18, 0.22)  rightControllerVel:(0.03, -0.07, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:137   leftController:(-0.66, 1.09, 1.82)  rightController:(-0.37, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.05, 0.18, 0.22)  rightControllerVel:(0.02, -0.07, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:148   leftController:(-0.66, 1.09, 1.82)  rightController:(-0.37, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.06, 0.18, 0.22)  rightControllerVel:(0.01, -0.07, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:159   leftController:(-0.66, 1.09, 1.83)  rightController:(-0.37, 1.14, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.08, 0.18, 0.22)  rightControllerVel:(-0.01, -0.07, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:170   leftController:(-0.66, 1.10, 1.83)  rightController:(-0.37, 1.13, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.09, 0.15, 0.23)  rightControllerVel:(-0.02, -0.08, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:181   leftController:(-0.66, 1.10, 1.83)  rightController:(-0.37, 1.13, 1.88)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.12, 0.14, 0.23)  rightControllerVel:(-0.03, -0.08, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
