2021.6.22 19:09:14:845   leftController:(-0.42, 1.26, 0.32)  rightController:(-0.10, 1.35, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.06, -0.20, 0.05)  rightControllerVel:(0.09, -0.30, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:866   leftController:(-0.42, 1.25, 0.32)  rightController:(-0.10, 1.34, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.08, -0.24, 0.06)  rightControllerVel:(0.11, -0.35, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:883   leftController:(-0.42, 1.25, 0.32)  rightController:(-0.09, 1.33, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.09, -0.28, 0.06)  rightControllerVel:(0.11, -0.38, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:898   leftController:(-0.42, 1.24, 0.32)  rightController:(-0.09, 1.33, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.08, -0.31, 0.07)  rightControllerVel:(0.10, -0.41, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:909   leftController:(-0.42, 1.24, 0.32)  rightController:(-0.09, 1.32, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.07, -0.33, 0.07)  rightControllerVel:(0.10, -0.43, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:925   leftController:(-0.42, 1.24, 0.32)  rightController:(-0.09, 1.31, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.05, -0.37, 0.08)  rightControllerVel:(0.09, -0.48, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:939   leftController:(-0.42, 1.23, 0.32)  rightController:(-0.09, 1.31, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.05, -0.38, 0.08)  rightControllerVel:(0.10, -0.51, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:953   leftController:(-0.42, 1.22, 0.33)  rightController:(-0.09, 1.30, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.06, -0.38, 0.06)  rightControllerVel:(0.11, -0.55, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:969   leftController:(-0.42, 1.22, 0.33)  rightController:(-0.08, 1.29, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.08, -0.38, 0.05)  rightControllerVel:(0.12, -0.58, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:983   leftController:(-0.43, 1.21, 0.33)  rightController:(-0.08, 1.28, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.09, -0.36, 0.03)  rightControllerVel:(0.12, -0.61, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:02   leftController:(-0.43, 1.21, 0.33)  rightController:(-0.08, 1.27, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.09, -0.35, 0.02)  rightControllerVel:(0.11, -0.64, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:14   leftController:(-0.43, 1.20, 0.33)  rightController:(-0.08, 1.26, 0.43)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.09, -0.34, 0.01)  rightControllerVel:(0.11, -0.65, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:33   leftController:(-0.43, 1.20, 0.33)  rightController:(-0.08, 1.25, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.08, -0.34, 0.00)  rightControllerVel:(0.09, -0.65, -0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:45   leftController:(-0.43, 1.19, 0.33)  rightController:(-0.08, 1.24, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.07, -0.35, 0.00)  rightControllerVel:(0.08, -0.66, -0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:64   leftController:(-0.43, 1.19, 0.33)  rightController:(-0.08, 1.23, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.06, -0.35, -0.02)  rightControllerVel:(0.08, -0.66, -0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:80   leftController:(-0.43, 1.18, 0.33)  rightController:(-0.07, 1.22, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.06, -0.35, -0.02)  rightControllerVel:(0.09, -0.66, -0.20)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:96   leftController:(-0.43, 1.18, 0.33)  rightController:(-0.07, 1.21, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.07, -0.34, -0.04)  rightControllerVel:(0.10, -0.67, -0.22)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:107   leftController:(-0.44, 1.17, 0.33)  rightController:(-0.07, 1.20, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.07, -0.33, -0.04)  rightControllerVel:(0.11, -0.68, -0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:120   leftController:(-0.44, 1.17, 0.33)  rightController:(-0.07, 1.19, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, 0.07)  leftControllerVel:(-0.08, -0.32, -0.05)  rightControllerVel:(0.11, -0.68, -0.26)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:140   leftController:(-0.44, 1.16, 0.32)  rightController:(-0.07, 1.18, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.09, -0.30, -0.07)  rightControllerVel:(0.10, -0.68, -0.28)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:155   leftController:(-0.44, 1.16, 0.32)  rightController:(-0.07, 1.17, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.09, -0.29, -0.07)  rightControllerVel:(0.10, -0.67, -0.30)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:173   leftController:(-0.44, 1.15, 0.32)  rightController:(-0.06, 1.16, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.08, -0.29, -0.08)  rightControllerVel:(0.10, -0.65, -0.33)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:189   leftController:(-0.44, 1.15, 0.32)  rightController:(-0.06, 1.15, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.07, -0.29, -0.08)  rightControllerVel:(0.09, -0.64, -0.34)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:206   leftController:(-0.44, 1.14, 0.32)  rightController:(-0.06, 1.13, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.06, -0.29, -0.08)  rightControllerVel:(0.08, -0.64, -0.35)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:226   leftController:(-0.44, 1.14, 0.32)  rightController:(-0.06, 1.12, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.04, -0.30, -0.08)  rightControllerVel:(0.08, -0.64, -0.36)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:238   leftController:(-0.44, 1.13, 0.32)  rightController:(-0.06, 1.11, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.03, -0.31, -0.08)  rightControllerVel:(0.07, -0.64, -0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:259   leftController:(-0.44, 1.13, 0.32)  rightController:(-0.06, 1.10, 0.36)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(-0.01, -0.32, -0.07)  rightControllerVel:(0.06, -0.64, -0.38)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:280   leftController:(-0.44, 1.12, 0.31)  rightController:(-0.06, 1.09, 0.35)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(0.01, -0.32, -0.07)  rightControllerVel:(0.05, -0.64, -0.39)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:300   leftController:(-0.44, 1.11, 0.31)  rightController:(-0.06, 1.07, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.08)  leftControllerVel:(0.02, -0.32, -0.06)  rightControllerVel:(0.02, -0.63, -0.39)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:322   leftController:(-0.44, 1.11, 0.31)  rightController:(-0.06, 1.06, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.65, 0.09)  leftControllerVel:(0.03, -0.31, -0.06)  rightControllerVel:(0.00, -0.60, -0.39)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:365   leftController:(-0.44, 1.10, 0.31)  rightController:(-0.06, 1.04, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.64, 0.09)  leftControllerVel:(0.09, -0.21, -0.06)  rightControllerVel:(-0.07, -0.47, -0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:397   leftController:(-0.44, 1.09, 0.31)  rightController:(-0.06, 1.03, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.64, 0.09)  leftControllerVel:(0.16, -0.11, -0.04)  rightControllerVel:(-0.08, -0.31, -0.33)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:409   leftController:(-0.43, 1.09, 0.31)  rightController:(-0.06, 1.03, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.64, 0.09)  leftControllerVel:(0.17, -0.07, -0.04)  rightControllerVel:(-0.08, -0.25, -0.31)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:442   leftController:(-0.43, 1.09, 0.31)  rightController:(-0.07, 1.02, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.64, 0.09)  leftControllerVel:(0.21, 0.02, -0.01)  rightControllerVel:(-0.08, -0.09, -0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:478   leftController:(-0.42, 1.09, 0.31)  rightController:(-0.07, 1.02, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.28, 1.64, 0.09)  leftControllerVel:(0.20, 0.06, 0.01)  rightControllerVel:(-0.05, 0.02, -0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:15:494   leftController:(-0.42, 1.09, 0.31)  rightController:(-0.07, 1.02, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.28, 1.64, 0.09)  leftControllerVel:(0.20, 0.06, 0.02)  rightControllerVel:(-0.02, 0.07, -0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
