2022.4.8 18:03:42:593   leftController:(0.09, 1.26, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.03, -0.21, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.05, 0.03, 0.00)
2022.4.8 18:03:42:605   leftController:(0.09, 1.26, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.02, -0.20, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.05, 0.02, 0.00)
2022.4.8 18:03:42:616   leftController:(0.09, 1.26, 0.33)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.10, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.02, -0.18, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
2022.4.8 18:03:42:627   leftController:(0.09, 1.25, 0.33)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(-0.02, -0.16, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
2022.4.8 18:03:42:638   leftController:(0.09, 1.25, 0.33)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(-0.03, -0.13, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
2022.4.8 18:03:42:649   leftController:(0.09, 1.25, 0.33)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(-0.04, -0.12, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
2022.4.8 18:03:42:660   leftController:(0.08, 1.25, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.06, 1.68, 0.13)  leftControllerVel:(-0.06, -0.10, -0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
2022.4.8 18:03:42:671   leftController:(0.08, 1.25, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.06, 1.68, 0.13)  leftControllerVel:(-0.07, -0.09, -0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
2022.4.8 18:03:42:682   leftController:(0.08, 1.25, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.06, 1.68, 0.13)  leftControllerVel:(-0.08, -0.08, -0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.05, 0.02, 0.00)
2022.4.8 18:03:42:694   leftController:(0.08, 1.25, 0.32)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.21, 0.32)  headset:(-0.06, 1.68, 0.13)  leftControllerVel:(-0.08, -0.08, -0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.00)
